id,type,title,status,priority,assignee,reporter,parent,addressed_to,path,created,updated
FEATURE-001,feature,Foundry CLI: Requirements Analysis and Open Questions,Closed,High,architect,architect,,,FEATURE-001,2026-04-09,2026-08-11
QUESTION-001,question,Foundry CLI Round 3: 10 open questions requiring Product Owner answers,Closed,High,,architect,FEATURE-001,product_owner,FEATURE-001/QUESTION-001,2026-04-10,2026-04-10
BA-ANA-001,ba_subtask_analysis,Foundry CLI: Business Requirements Analysis,Closed,Medium,ba,ba,FEATURE-001,,FEATURE-001/BA-ANA-001,2026-04-13,2026-04-13
SA-ANA-001,sa_subtask_analysis,Foundry CLI: Solution Architecture Analysis,Closed,Medium,architect,architect,FEATURE-001,,FEATURE-001/SA-ANA-001,2026-04-13,2026-04-13
EPIC-001,epic,Core CLI Infrastructure,Done,Critical,architect,architect,,,EPIC-001,2026-04-13,2026-07-30
EPIC-002,epic,Datasets & Filesystem Skills,Done,Critical,architect,architect,,,EPIC-002,2026-04-13,2026-07-30
EPIC-003,epic,Ontology & Functions Skills,Done,Critical,architect,architect,,,EPIC-003,2026-04-13,2026-07-30
EPIC-004,epic,Admin & Security Skills,Done,High,architect,architect,,,EPIC-004,2026-04-13,2026-08-01
EPIC-005,epic,AI & Models Skills,Done,High,architect,architect,,,EPIC-005,2026-04-13,2026-08-11
EPIC-006,epic,Data Pipeline Skills,Done,High,architect,architect,,,EPIC-006,2026-04-13,2026-08-11
EPIC-007,epic,Remaining Namespace Skills,Done,Medium,architect,architect,,,EPIC-007,2026-04-13,2026-08-11
EPIC-008,epic,Foundry Knowledge Skill,Done,High,architect,architect,,,EPIC-008,2026-04-13,2026-08-11
DEV-STORY-001,dev_story,"Implement ConfigLoader, AuthProvider, AsyncClientFactory",Closed,Critical,architect,architect,FEATURE-001,,DEV-STORY-001,2026-04-13,2026-07-22
DEV-STORY-002,dev_story,"Implement RetryHandler, ErrorSerializer, OutputFormatter, LogSetup",Closed,Critical,architect,architect,FEATURE-001,,DEV-STORY-002,2026-04-13,2026-07-28
DEV-STORY-003,dev_story,"Implement AccessControlGuard, PaginationHelper",Closed,Critical,architect,architect,FEATURE-001,,DEV-STORY-003,2026-04-13,2026-07-26
DEV-STORY-004,dev_story,"Implement BinaryDownloadHandler, SessionManager, TracingProvider",Closed,High,tech-lead,architect,FEATURE-001,,DEV-STORY-004,2026-04-13,2026-07-28
DEV-STORY-005,dev_story,foundry-datasets skill (26 operations),Closed,Critical,architect,architect,FEATURE-001,,DEV-STORY-005,2026-04-13,2026-07-26
DEV-STORY-006,dev_story,foundry-filesystem skill (31 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-006,2026-04-13,2026-07-29
DEV-STORY-007,dev_story,foundry-ontologies skill (55 operations),Closed,Critical,python-developer,architect,FEATURE-001,,DEV-STORY-007,2026-04-13,2026-07-28
DEV-STORY-008,dev_story,foundry-functions skill (7 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-008,2026-04-13,2026-07-29
DEV-STORY-009,dev_story,foundry-admin skill (66 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-009,2026-04-13,2026-07-30
DEV-STORY-010,dev_story,foundry-audit skill (2 operations),Closed,High,python-developer,architect,FEATURE-001,,DEV-STORY-010,2026-04-13,2026-08-01
DEV-STORY-011,dev_story,foundry-aip-agents skill (13 operations + session management),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-011,2026-04-13,2026-08-09
DEV-STORY-012,dev_story,foundry-language-models skill (2 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-012,2026-04-13,2026-08-09
DEV-STORY-013,dev_story,foundry-models skill (23 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-013,2026-04-13,2026-08-10
DEV-STORY-014,dev_story,foundry-orchestration skill (20 operations),Closed,High,architect,architect,FEATURE-001,,DEV-STORY-014,2026-04-13,2026-08-10
